exp	file    Model_Type
full-wt_Neighbor	full-w_0_neighbor_Model	Neighbor
full-wt_Neighbor_LS	full-w_Neighbor_LS	Neighbor
full-wt_MI	full-w_0_MCMC_Model	LinearEmat
full-wt_LS	full-w_LS_Model         LinearEmat
full-wt_iterLS	full-w_itLS_Model         LinearEmat
full-wt_BVH	retest_bvh_RNAP_full-wt        LinearEmat
full-0_Neighbor	full-0_0_neighbor_Model	Neighbor
full-0_Neighbor_LS	full-0_Neighbor_LS	Neighbor
full-0_MI	full-0_None_MCMC_Model       LinearEmat
full-0_LS	full-0_LS_Model         LinearEmat
full-0_iterLS	full-0_itLS_Model         LinearEmat
full-0_BVH	retest_bvh_RNAP_full-0        LinearEmat
full-150_Neighbor	full-150_0_neighbor_Model	Neighbor
full-150_Neighbor_LS	full-150_Neighbor_LS	Neighbor
full-150_MI	full-150_None_MCMC_Model     LinearEmat
full-150_LS	full-150_LS_Model       LinearEmat
full-150_iterLS	full-150_itLS_Model       LinearEmat
full-150_BVH	retest_bvh_RNAP_full-150      LinearEmat
full-500_Neighbor	full-500_0_neighbor_Model	Neighbor
full-500_Neighbor_LS	full-500_Neighbor_LS	Neighbor
full-500_MI	full-500_None_MCMC_Model     LinearEmat
full-500_LS	full-500_LS_Model       LinearEmat
full-500_iterLS	full-500_itLS_Model       LinearEmat
full-500_BVH	retest_bvh_RNAP_full-500      LinearEmat
rnap-wt_Neighbor	rnap-w_0_neighbor_Model	Neighbor
rnap-wt_Neighbor_LS	rnap-w_Neighbor_LS	Neighbor
rnap-wt_MI	rnap-w_0_MCMC_Model     LinearEmat
rnap-wt_LS	rnap-w_LS_Model       LinearEmat
rnap-wt_iterLS	rnap-w_itLS_Model       LinearEmat
rnap-wt_BVH	retest_bvh_RNAP_full-RNAP      LinearEmat
