pos	par_A	par_C	par_G	par_T
0	0.00	0.99	0.86	0.43	
1	0.00	1.85	1.24	0.64	
2	0.00	1.96	1.60	0.39	
3	0.39	2.01	2.09	0.00	
4	0.23	0.82	0.57	0.00	
5	2.92	1.61	3.52	0.00	
6	3.54	4.63	0.00	2.96	
7	2.08	2.45	3.04	0.00	
8	5.21	5.64	0.00	3.94	
9	0.00	1.88	2.97	3.41	
10	1.65	0.00	0.97	0.20	
11	1.06	0.00	0.74	1.25	
12	1.00	0.55	0.90	0.00	
13	0.00	0.76	0.35	0.89	
14	1.08	0.50	0.00	0.82	
15	0.00	1.42	0.96	1.74	
16	3.68	3.17	2.24	0.00	
17	3.73	0.00	5.77	4.80	
18	0.00	3.16	2.41	2.06	
19	1.63	0.00	4.67	2.89	
20	0.00	4.39	2.03	4.06	
21	0.00	1.48	1.00	0.51	
22	1.51	2.40	3.25	0.00	
23	0.31	1.34	1.62	0.00	
24	1.60	0.66	1.80	0.00	
25	1.13	0.73	0.96	0.00	
