pos     val_AA     val_AC     val_AG     val_AT     val_CA     val_CC     val_CG     val_CT     val_GA     val_GC     val_GG     val_GT     val_TA     val_TC     val_TG     val_TT
   0   1.892384  -0.372417   0.380475   1.477752  -0.992553  -0.655457  -1.463567  -1.125320  -0.476366  -0.615273  -0.316303  -0.875368   1.097879  -0.010590  -0.230623   2.285347
   1   0.761344  -0.182084   0.444905   0.497179  -0.476860  -0.284666  -0.455815  -0.436396  -0.338766  -0.154042  -0.430280  -0.706931   0.234306   0.273277  -0.569056   1.823884
   2  -0.372444   0.222702  -0.430058   0.759824  -0.007728  -0.311986  -0.702139   0.674337   0.060867  -0.641679  -1.120631   0.691197  -0.265762   0.024290  -0.027550   1.446758
   3  -1.015278  -0.293429  -0.149793   0.873433  -0.752997  -0.481949   1.325134  -0.796861  -0.119998  -1.383944  -0.582253  -0.194182   0.133479  -0.291768   2.860515   0.869890
   4  -0.421121  -1.001004  -0.238979  -0.093689  -0.890218   0.136470  -0.255043  -1.442299   0.786853   0.638697  -0.086764   2.114817   1.043525   0.370829  -0.858532   0.196457
   5  -0.942035   0.052924   0.832117   0.576032   1.072838  -0.567641   0.452852  -0.813056  -0.349074  -0.748632   0.205870  -0.547481  -1.163446  -0.972956   2.515151   0.396538
   6  -0.195545  -0.234745  -0.520511  -0.430914  -0.923854  -1.915130   0.528243   0.074435   3.622083   0.918838  -0.182174  -0.352758   0.213699  -0.564609  -0.219635   0.182578
   7  -0.169692   1.339193   0.246665   1.300217  -0.447390  -1.498281   0.397443  -0.247418   0.332097   0.195100  -0.091108  -0.830167  -0.281518  -0.428855  -0.511457   0.695171
   8  -0.651145   0.451122   0.379056  -0.745535   0.395726  -0.630903  -0.019139  -0.138527  -0.066088   0.507035  -0.142504  -0.256900   0.200595   0.710930   0.382729  -0.376451
   9  -0.313616   0.243257  -0.146568   0.096014   0.233137   0.103255  -0.169507   0.871299   0.180573   0.071859  -0.030180   0.377889  -0.726847  -0.445083  -0.499668   0.154185
  10   0.283097  -0.415861  -0.329281  -0.164709   0.641119   0.272365  -0.377909  -0.562287   0.143462  -0.294138  -0.841663   0.146416   0.563872   0.113305   0.281732   0.540480
  11   0.176553   0.707434   0.787659  -0.040095  -0.345732  -0.136602   0.272931  -0.114925  -1.191193  -0.190632   0.703272  -0.588568  -0.372044  -0.061952  -0.196159   0.590055
  12  -0.434448  -0.358561  -0.153368  -0.786039  -0.609909  -0.116921   0.738734   0.306344   0.881460   0.510943  -0.179360   0.354659  -0.885270   0.216618   0.294676   0.220441
  13  -0.758340  -1.312693  -0.640988   1.663855  -0.663491   0.068398   0.604776   0.242396  -0.336613   0.501352  -0.972007   1.507950   0.338927  -0.260137  -0.062613   0.079229
  14  -1.244410  -0.720457  -0.664251   1.209602  -0.665443  -0.726413  -0.127068   0.515843  -1.163137   0.656136  -0.375688  -0.188144   0.710554   3.506370  -2.236591   1.513096
  15  -0.246179  -0.805917  -0.797004  -0.513335   2.738401  -0.188715  -0.973580   1.139530  -1.816441  -0.027028  -0.502029  -1.058100  -2.654847   0.152039   5.233146   0.320059
  16  -0.258461   1.715663  -2.662950  -0.773318  -0.205274   0.092953   0.737924  -1.495225   1.095424   1.488779   0.425001  -0.048673   0.467369   0.029574  -1.172524   0.563736
  17   1.387681   0.129088  -0.204641  -0.213070   3.063850  -1.057426   1.279482   0.041062  -0.191971  -0.335393  -0.397762  -1.747421   0.307490  -1.095734   0.418379  -1.383614
  18   1.216570   0.886444   1.118803   1.345233  -0.598417  -0.746664  -0.782247  -0.232137  -0.314869   0.036809   0.611438   0.762080  -0.409452  -1.288806  -1.193128  -0.411657
  19   1.008094  -0.811286  -0.409510   0.106533  -0.401456  -0.420219  -0.741677   0.451135   0.208811  -0.952189  -0.156879   0.655123   0.225894   0.479691  -0.849519   1.607454
  20   1.230041  -0.709696  -0.834631   1.355629  -0.720701  -0.565122  -0.921250   0.503071   0.333087  -1.007950  -1.116712  -0.366009   0.513335   0.519130  -0.814227   2.602006
