pos	par_A	par_C	par_G	par_T
0	0.00	0.68	0.56	0.42	
1	0.00	1.27	1.03	0.67	
2	0.00	1.81	1.12	0.29	
3	0.00	2.63	1.65	0.38	
4	0.00	0.94	0.48	0.25	
5	2.34	1.32	2.08	0.00	
6	2.25	3.60	0.00	1.72	
7	2.72	1.12	3.37	0.00	
8	2.58	4.39	0.00	2.17	
9	0.00	1.68	2.13	2.40	
10	0.62	0.56	0.40	0.00	
11	0.93	0.00	0.72	0.75	
12	0.77	0.00	0.93	0.18	
13	0.18	0.93	0.00	0.77	
14	0.75	0.72	0.00	0.93	
15	0.00	0.40	0.56	0.62	
16	2.40	2.13	1.68	0.00	
17	2.17	0.00	4.39	2.58	
18	0.00	3.37	1.12	2.72	
19	1.72	0.00	3.60	2.25	
20	0.00	2.08	1.32	2.34	
21	0.25	0.48	0.94	0.00	
22	0.38	1.65	2.63	0.00	
23	0.29	1.12	1.81	0.00	
24	0.67	1.03	1.27	0.00	
25	0.42	0.56	0.68	0.00	
