pos	par_A	par_C	par_G	par_T
0	0.00	1.05	0.68	1.02	
1	0.72	1.88	0.00	2.13	
2	0.62	0.67	0.58	0.00	
3	0.36	0.48	0.00	0.30	
4	3.68	0.76	0.00	6.72	
5	9.90	7.84	6.88	0.00	
6	4.80	8.74	4.96	0.00	
7	13.45	12.46	0.00	6.99	
8	0.00	8.55	1.97	7.41	
9	8.26	0.00	10.57	2.25	
10	0.00	4.99	3.97	2.21	
11	0.00	1.97	1.29	0.75	
12	1.19	1.22	0.00	1.33	
13	0.00	1.07	0.14	0.86	
14	0.62	0.72	0.98	0.00	
15	0.00	2.26	0.45	1.68	
16	1.23	0.28	0.46	0.00	
17	0.00	2.14	1.36	3.33	
18	0.91	0.00	0.58	1.47	
19	0.60	0.61	0.28	0.00	
20	0.00	0.45	0.71	0.06	
21	0.54	0.62	0.73	0.00	
22	0.62	0.73	0.65	0.00	
23	0.68	1.51	1.39	0.00	
24	3.02	2.40	2.62	0.00	
25	0.00	3.45	1.40	4.49	
26	1.42	2.71	0.00	2.02	
27	4.55	7.85	0.00	4.66	
28	2.15	1.68	0.00	0.33	
29	3.25	7.20	9.64	0.00	
30	0.00	13.06	11.51	13.39	
31	1.03	4.27	3.67	0.00	
32	0.00	3.92	5.01	5.14	
33	0.00	2.77	6.09	6.00	
34	7.27	9.97	10.64	0.00	
35	0.00	4.10	1.96	2.48	
36	0.20	2.37	1.22	0.00	
37	0.00	1.44	1.25	1.16	
38	0.35	0.68	0.09	0.00	
39	0.00	1.78	2.02	1.31	
40	0.79	0.88	0.93	0.00	
