pos	par_A	par_C	par_G	par_T
0	0.63	0.17	0.47	0.00	
1	0.00	1.29	0.49	1.34	
2	4.39	0.42	0.00	8.58	
3	14.40	14.40	13.58	0.00	
4	6.73	14.64	5.51	0.00	
5	18.22	15.34	0.00	7.44	
6	0.00	8.29	6.57	8.27	
7	10.13	0.00	14.14	8.41	
8	0.00	5.40	4.26	1.67	
9	0.00	2.05	1.65	0.15	
10	0.00	0.74	0.32	0.52	
11	0.46	0.63	0.00	0.13	
12	0.42	0.33	0.07	0.00	
13	0.23	1.21	0.00	1.86	
14	1.13	0.39	0.00	0.16	
15	0.00	1.09	0.34	2.52	
16	0.99	0.13	0.00	1.22	
17	0.47	0.00	0.54	0.22	
18	0.81	0.47	0.91	0.00	
19	0.32	0.37	0.60	0.00	
20	0.81	0.71	0.76	0.00	
21	0.72	1.48	1.61	0.00	
22	3.37	2.82	2.86	0.00	
23	0.00	4.07	1.49	5.94	
24	2.06	2.75	0.00	2.70	
25	4.57	8.42	0.00	4.71	
26	2.33	2.42	0.00	0.86	
27	7.56	9.83	14.36	0.00	
28	0.00	19.25	19.85	17.23	
29	2.01	4.77	4.72	0.00	
30	0.00	5.54	6.64	7.12	
31	0.00	2.94	6.29	6.44	
32	8.00	14.29	12.70	0.00	
33	0.00	4.04	1.97	3.63	
34	0.42	3.11	1.01	0.00	
35	0.00	1.82	1.53	1.53	
