       pos      val_A      val_C      val_G      val_T
         3  -0.100764   0.103296   0.073618  -0.076150
         4  -0.064337   0.095539   0.119512  -0.150714
         5  -0.011456   0.057998   0.030038  -0.076580
         6   0.070403  -0.015667   0.118122  -0.172858
         7   0.066010   0.159048  -0.208144  -0.016914
         8   0.037106   0.040780   0.084857  -0.162743
         9   0.094415   0.130231  -0.246635   0.021988
        10  -0.175285   0.043433   0.067921   0.063931
        11   0.081493  -0.033505   0.070367  -0.118355
        12   0.010444  -0.053801   0.016957   0.026400
        13   0.017596  -0.002206   0.050882  -0.066272
        14  -0.031270   0.030053   0.016296  -0.015079
        15   0.040243   0.033762  -0.036739  -0.037265
        16  -0.105489   0.069225  -0.003357   0.039621
        17   0.090006   0.066059   0.034305  -0.190370
        18   0.085011  -0.205121   0.188079  -0.067968
        19  -0.117829   0.131484  -0.007762  -0.005893
        20  -0.043725  -0.163839   0.173929   0.033634
        21  -0.311124   0.181993  -0.048429   0.177561
        22  -0.103066   0.104213   0.079364  -0.080511
        23  -0.030676   0.108678   0.173448  -0.251450
        24  -0.058990   0.021726   0.111321  -0.074057
