pos	par_A	par_C	par_G	par_T
0	0.00	0.50	0.42	0.17	
1	0.00	0.82	0.60	0.29	
2	0.00	0.92	0.70	0.10	
3	0.18	0.96	1.00	0.00	
4	0.10	0.40	0.29	0.00	
5	1.38	0.71	1.67	0.00	
6	1.62	2.26	0.00	1.40	
7	0.92	1.15	1.38	0.00	
8	2.42	2.52	0.00	1.78	
9	0.00	0.86	1.39	1.52	
10	0.77	0.00	0.42	0.06	
11	0.48	0.00	0.35	0.55	
12	0.38	0.22	0.39	0.00	
13	0.00	0.33	0.15	0.35	
14	0.51	0.23	0.00	0.40	
15	0.00	0.67	0.51	0.84	
16	1.67	1.45	0.97	0.00	
17	1.77	0.00	2.52	2.25	
18	0.00	1.51	1.16	0.96	
19	0.75	0.00	2.05	1.31	
20	0.00	2.05	0.93	1.86	
21	0.00	0.66	0.39	0.23	
22	0.71	1.06	1.45	0.00	
23	0.14	0.60	0.74	0.00	
24	0.74	0.34	0.89	0.00	
25	0.54	0.35	0.46	0.00	
