       pos      val_A      val_C      val_G      val_T
        36   0.027015   0.022144   0.017840  -0.066999
        37  -0.004777   0.024286  -0.028366   0.008858
        38   0.034713  -0.015720  -0.113420   0.094426
        39  -0.005271   0.092589  -0.029447  -0.057871
        40  -0.035613   0.014416   0.042355  -0.021158
        41   0.177039   0.267032  -0.441828  -0.002243
        42  -0.091708   0.110870  -0.045627   0.026464
        43   0.095076  -0.042537   0.128001  -0.180540
        44  -0.107083   0.052827   0.056196  -0.001940
        45  -0.044798   0.054601   0.010438  -0.020241
        46  -0.007386   0.066658  -0.065635   0.006363
        47  -0.018315   0.030329  -0.049647   0.037633
        48   0.005909   0.027798   0.009905  -0.043612
        49  -0.052750   0.069810   0.023634  -0.040694
        50  -0.002223   0.040473   0.005683  -0.043934
        51  -0.157343   0.050529   0.022252   0.084562
        52  -0.027458  -0.018161  -0.003905   0.049524
        53   0.006246   0.010027   0.015580  -0.031854
        54  -0.025477   0.025745   0.003424  -0.003691
        55  -0.069853   0.034249   0.029768   0.005836
        56   0.003784   0.024004  -0.016830  -0.010957
        57  -0.010267   0.014652   0.029778  -0.034162
        58   0.045540   0.019456   0.047241  -0.112237
        59  -0.111321   0.069660  -0.051495   0.093156
        60   0.012087   0.056677  -0.101164   0.032401
        61   0.007596   0.221005  -0.256500   0.027899
        62   0.042947   0.035357  -0.045004  -0.033301
        63  -0.039079   0.087642   0.040291  -0.088854
        64  -0.120180   0.049259   0.061690   0.009231
        65   0.001222   0.020461   0.040639  -0.062322
        66  -0.236620   0.041031   0.093167   0.102423
        67  -0.200018  -0.070608   0.126286   0.144340
        68   0.027879   0.073455   0.013883  -0.115216
        69  -0.096026   0.055750  -0.009077   0.049353
        70  -0.018726   0.077094  -0.016210  -0.042158
        71  -0.055406   0.016569   0.025279   0.013558
        72   0.008484  -0.010439   0.012436  -0.010481
        73  -0.150284   0.068516   0.064352   0.017415
        74  -0.009764   0.006076   0.026343  -0.022654
