pos      val_A      val_C      val_G      val_T
   0   0.894160  -0.904110  -0.545880   0.555830
   1   0.522970  -0.943330  -0.976916   1.397276
   2  -0.006213  -0.546446  -0.311926   0.864585
   3  -0.768769   0.208300  -1.160367   1.720836
   4  -0.801640  -1.745592   2.074855   0.472377
   5  -0.055218  -0.373101  -0.987396   1.415714
   6  -1.329547  -1.678345   2.784233   0.223659
   7   1.495863  -0.153076  -0.791095  -0.551691
   8  -0.789842   0.285597  -0.270838   0.775083
   9  -0.193903   0.564532  -0.002830  -0.367799
  10  -0.296442   0.050943  -0.283210   0.528708
  11   0.321874  -0.369383  -0.160668   0.208178
  12  -0.645100  -0.038289   0.428753   0.254636
  13   0.352256  -0.358664  -0.021735   0.028143
  14  -1.144963  -0.762245   0.082037   1.825172
  15  -0.364611   2.905892  -2.581480   0.040199
  16   1.021804  -0.961481  -0.276219   0.215896
  17   0.381222   1.650694  -1.876026  -0.155890
  18   2.070972  -1.364313   0.452630  -1.159289
  19   0.395154  -0.794185  -0.349150   0.748182
  20   0.092502  -0.639082  -1.266803   1.813383
  21   0.513025  -0.550243  -0.733078   0.770296
