pos	par_A	par_C	par_G	par_T
0	0.00	1.01	0.50	0.25	
1	0.00	1.78	1.12	0.50	
2	0.00	1.73	1.28	0.06	
3	0.49	2.12	1.94	0.00	
4	0.31	0.59	0.66	0.00	
5	3.66	1.48	2.97	0.00	
6	3.03	2.86	0.00	2.45	
7	1.36	2.42	2.85	0.00	
8	3.18	3.84	0.00	2.91	
9	0.00	1.83	2.25	2.75	
10	1.84	0.00	0.99	0.24	
11	1.31	0.00	0.75	1.14	
12	0.65	0.25	1.22	0.00	
13	0.00	0.54	0.00	0.91	
14	0.26	0.93	0.00	0.51	
15	0.00	1.94	1.79	2.40	
16	3.00	2.92	1.32	0.00	
17	3.80	0.00	3.40	3.54	
18	0.00	2.71	2.41	1.42	
19	1.49	0.00	3.63	2.23	
20	0.00	3.83	1.87	3.67	
21	0.00	1.46	0.94	0.71	
22	1.28	2.54	2.93	0.00	
23	0.36	0.74	1.60	0.00	
24	2.10	0.64	2.76	0.00	
25	1.25	0.90	0.81	0.00	
