       pos      val_A      val_C      val_G      val_T
        36   0.027745  -0.007175   0.017496  -0.038067
        37   0.009255   0.018420  -0.007354  -0.020322
        38   0.042297  -0.064781  -0.081502   0.103986
        39   0.065447   0.042642   0.076112  -0.184201
        40   0.034163   0.127127   0.006156  -0.167446
        41   0.230077   0.227262  -0.392885  -0.064455
        42  -0.139495   0.156669  -0.037787   0.020613
        43   0.077630  -0.171817   0.149492  -0.055305
        44  -0.077825   0.067622   0.066219  -0.056017
        45  -0.044895   0.057080   0.025502  -0.037687
        46  -0.000217   0.027207  -0.054087   0.027097
        47  -0.004840   0.020598  -0.029778   0.014020
        48   0.009049   0.007282   0.000021  -0.016353
        49  -0.019691   0.036225  -0.008862  -0.007673
        50   0.014841   0.001599  -0.002750  -0.013690
        51  -0.074031   0.020831   0.021635   0.031565
        52  -0.007053  -0.009306   0.003870   0.012490
        53  -0.014041   0.032854  -0.012355  -0.006458
        54  -0.013818   0.005242   0.026432  -0.017856
        55  -0.041371   0.025232   0.029677  -0.013538
        56   0.000329   0.007267   0.019646  -0.027242
        57   0.005689   0.015375   0.031423  -0.052488
        58   0.041715   0.028610   0.029078  -0.099404
        59  -0.075610   0.050800  -0.062278   0.087088
        60   0.005274   0.034481  -0.066202   0.026447
        61   0.020505   0.168858  -0.180262  -0.009101
        62   0.049476   0.024446  -0.029727  -0.044194
        63  -0.059864   0.099613   0.123078  -0.162828
        64  -0.251431   0.098681   0.133181   0.019569
        65  -0.044955   0.083082   0.050418  -0.088546
        66  -0.166966   0.022909   0.082524   0.061533
        67  -0.139839  -0.040471   0.070800   0.109510
        68   0.023298   0.102364   0.078999  -0.204661
        69  -0.073533   0.058219   0.003801   0.011513
        70  -0.052055   0.119022  -0.037805  -0.029162
        71  -0.027401   0.032948   0.018899  -0.024447
        72   0.003286   0.019027  -0.029118   0.006805
        73  -0.099521   0.033680   0.054328   0.011514
        74  -0.001026   0.027146   0.024893  -0.051013
