pos	par_A	par_C	par_G	par_T
0	0.00	0.08	0.00	0.07	
1	0.03	0.20	0.00	0.26	
2	0.06	0.02	0.04	0.00	
3	0.00	0.10	0.02	0.10	
4	0.44	0.04	0.00	0.83	
5	1.43	1.41	1.37	0.00	
6	0.65	1.50	0.52	0.00	
7	1.98	1.65	0.00	0.87	
8	0.00	0.88	0.49	0.83	
9	1.03	0.00	1.42	0.78	
10	0.00	0.55	0.42	0.20	
11	0.00	0.22	0.17	0.04	
12	0.01	0.09	0.00	0.05	
13	0.00	0.06	0.00	0.03	
14	0.06	0.03	0.02	0.00	
15	0.00	0.14	0.04	0.20	
16	0.11	0.04	0.04	0.00	
17	0.00	0.15	0.08	0.29	
18	0.11	0.01	0.00	0.13	
19	0.04	0.02	0.05	0.00	
20	0.07	0.05	0.09	0.00	
21	0.00	0.03	0.06	0.00	
22	0.04	0.05	0.04	0.00	
23	0.07	0.15	0.17	0.00	
24	0.34	0.30	0.31	0.00	
25	0.00	0.42	0.16	0.60	
26	0.21	0.30	0.00	0.28	
27	0.56	0.98	0.00	0.57	
28	0.22	0.23	0.00	0.08	
29	0.71	1.01	1.50	0.00	
30	0.00	2.01	2.02	1.77	
31	0.19	0.46	0.48	0.00	
32	0.00	0.55	0.67	0.72	
33	0.00	0.30	0.66	0.69	
34	0.81	1.50	1.30	0.00	
35	0.00	0.43	0.21	0.37	
36	0.03	0.32	0.09	0.00	
37	0.00	0.18	0.15	0.13	
38	0.06	0.08	0.02	0.00	
39	0.00	0.23	0.22	0.16	
40	0.00	0.07	0.09	0.00	
