pos	par_A	par_C	par_G	par_T
0	0.01	0.11	0.00	0.10	
1	0.04	0.26	0.00	0.32	
2	0.06	0.02	0.05	0.00	
3	0.00	0.12	0.02	0.11	
4	0.51	0.05	0.00	1.01	
5	1.72	1.71	1.62	0.00	
6	0.79	1.83	0.67	0.00	
7	2.36	2.02	0.00	1.06	
8	0.00	1.04	0.59	1.00	
9	1.25	0.00	1.70	0.93	
10	0.00	0.65	0.51	0.26	
11	0.00	0.25	0.20	0.04	
12	0.01	0.12	0.00	0.06	
13	0.00	0.08	0.00	0.04	
14	0.05	0.03	0.02	0.00	
15	0.00	0.17	0.05	0.23	
16	0.13	0.05	0.03	0.00	
17	0.00	0.19	0.10	0.35	
18	0.11	0.02	0.00	0.17	
19	0.05	0.00	0.06	0.00	
20	0.09	0.07	0.09	0.00	
21	0.01	0.04	0.08	0.00	
22	0.05	0.06	0.03	0.00	
23	0.06	0.17	0.19	0.00	
24	0.42	0.39	0.39	0.00	
25	0.00	0.49	0.17	0.70	
26	0.22	0.35	0.00	0.33	
27	0.66	1.17	0.00	0.68	
28	0.28	0.28	0.00	0.10	
29	0.86	1.20	1.83	0.00	
30	0.00	2.38	2.41	2.16	
31	0.22	0.55	0.59	0.00	
32	0.00	0.66	0.81	0.86	
33	0.00	0.38	0.80	0.84	
34	0.97	1.84	1.55	0.00	
35	0.00	0.53	0.27	0.46	
36	0.03	0.39	0.10	0.00	
37	0.00	0.21	0.18	0.15	
38	0.05	0.13	0.03	0.00	
39	0.00	0.32	0.30	0.24	
40	0.01	0.08	0.11	0.00	
