pos	par_A	par_C	par_G	par_T
0	0.25	0.70	0.00	0.51	
1	0.06	2.21	0.00	1.95	
2	0.98	0.46	0.62	0.00	
3	0.00	1.02	0.12	0.64	
4	3.54	0.57	0.00	6.27	
5	8.89	9.79	8.86	0.00	
6	4.24	10.22	3.45	0.00	
7	14.90	13.58	0.00	6.07	
8	0.00	6.98	3.29	6.22	
9	8.18	0.00	10.11	4.22	
10	0.00	4.10	3.49	1.98	
11	0.00	1.93	1.14	0.39	
12	0.90	1.45	0.00	0.79	
13	0.00	0.84	0.36	1.11	
14	1.09	0.32	0.34	0.00	
15	0.00	1.73	0.73	1.95	
16	1.10	0.79	0.45	0.00	
17	0.00	1.75	1.46	3.10	
18	0.30	0.19	0.00	1.60	
19	0.61	0.21	0.31	0.00	
20	0.28	0.19	1.03	0.00	
21	0.25	0.40	0.37	0.00	
22	0.17	0.56	0.77	0.00	
23	0.60	1.36	1.35	0.00	
24	2.96	2.33	2.53	0.00	
25	0.00	3.66	1.82	4.94	
26	2.13	3.05	0.00	2.57	
27	4.04	7.66	0.00	4.12	
28	1.63	2.17	0.00	0.71	
29	5.05	7.49	11.86	0.00	
30	0.00	14.87	14.39	14.16	
31	2.27	3.69	3.34	0.00	
32	0.00	4.36	5.22	5.36	
33	0.00	3.03	5.23	5.75	
34	6.77	11.55	10.72	0.00	
35	0.00	3.75	1.86	2.57	
36	0.00	3.39	1.38	0.44	
37	0.00	1.30	1.41	1.43	
38	0.43	0.57	0.00	0.04	
39	0.00	3.37	3.25	2.17	
40	0.55	0.77	1.11	0.00	
