       pos      val_A      val_C      val_G      val_T
        36   0.010577   0.015002   0.022436  -0.048015
        37  -0.019132   0.013894  -0.016002   0.021240
        38   0.052749  -0.064800  -0.096882   0.108933
        39   0.078208   0.065540   0.059122  -0.202870
        40  -0.002395   0.142364   0.006271  -0.146240
        41   0.221483   0.200250  -0.337486  -0.084247
        42  -0.148991   0.100710  -0.000758   0.049040
        43   0.081040  -0.156909   0.150814  -0.074944
        44  -0.089852   0.048545   0.045259  -0.003951
        45  -0.038184   0.055175   0.027938  -0.044928
        46   0.012088   0.033216  -0.045100  -0.000204
        47  -0.018185   0.022010  -0.029342   0.025516
        48   0.026115   0.012247  -0.006691  -0.031671
        49  -0.042647   0.055342   0.002373  -0.015068
        50   0.016810   0.020793  -0.013631  -0.023973
        51  -0.086255   0.025379   0.013992   0.046883
        52  -0.002530  -0.002791  -0.017922   0.023243
        53   0.021426  -0.000888  -0.000701  -0.019837
        54  -0.012371  -0.002949   0.018857  -0.003537
        55  -0.012568   0.026098   0.022115  -0.035646
        56  -0.003365   0.027370   0.003723  -0.027729
        57   0.002583   0.016328   0.036862  -0.055773
        58   0.044150   0.036235   0.029714  -0.110099
        59  -0.108328   0.058808  -0.045494   0.095015
        60   0.009222   0.028335  -0.075731   0.038174
        61   0.002873   0.176863  -0.169685  -0.010050
        62   0.045732   0.038394  -0.039481  -0.044645
        63  -0.028133   0.084994   0.122957  -0.179818
        64  -0.269971   0.105143   0.102562   0.062266
        65  -0.020975   0.052512   0.052297  -0.083834
        66  -0.176512   0.039079   0.078547   0.058886
        67  -0.147231  -0.035203   0.078204   0.104230
        68   0.009389   0.117856   0.094067  -0.221312
        69  -0.085872   0.085825   0.000052  -0.000005
        70  -0.050598   0.093806  -0.005032  -0.038176
        71  -0.048390   0.027061   0.025674  -0.004344
        72   0.001896   0.024101  -0.018168  -0.007829
        73  -0.156608   0.071163   0.076361   0.009084
        74   0.006130   0.014499   0.032409  -0.053039
