       pos      val_A      val_C      val_G      val_T
         3  -0.131197   0.164533   0.067606  -0.100943
         4  -0.038660   0.096146   0.105802  -0.163289
         5  -0.008210   0.071019   0.022646  -0.085455
         6   0.039843   0.057599   0.072305  -0.169746
         7   0.061216   0.137167  -0.198229  -0.000155
         8   0.036704   0.035506   0.088435  -0.160645
         9   0.107808   0.149621  -0.218553  -0.038876
        10  -0.159635  -0.004258   0.140186   0.023708
        11   0.101480  -0.012652   0.045401  -0.134229
        12   0.047978  -0.093736  -0.020634   0.066392
        13   0.115884  -0.047436  -0.007681  -0.060767
        14  -0.055742   0.090573  -0.020748  -0.014083
        15   0.074200   0.029647  -0.046254  -0.057594
        16  -0.109035   0.080139   0.019066   0.009829
        17   0.072402  -0.002261   0.093682  -0.163823
        18   0.020809  -0.191000   0.201455  -0.031264
        19  -0.161994   0.139785   0.076029  -0.053820
        20  -0.004757  -0.148407   0.152090   0.001074
        21  -0.263727   0.201719  -0.082650   0.144658
        22  -0.104107   0.092596   0.072693  -0.061182
        23  -0.007615   0.084942   0.176738  -0.254065
        24  -0.022126   0.031634   0.081683  -0.091191
