pos	par_A	par_C	par_G	par_T
0	0.00	0.89	0.29	0.76	
1	0.43	1.78	0.00	1.29	
2	1.22	0.74	0.74	0.00	
3	0.00	0.98	0.22	1.04	
4	2.65	1.27	0.00	5.74	
5	4.42	6.30	3.98	0.00	
6	3.42	3.56	3.78	0.00	
7	13.68	13.72	0.00	6.89	
8	0.00	10.72	1.07	7.26	
9	9.44	0.76	9.77	0.00	
10	0.00	7.04	4.79	2.73	
11	0.00	1.94	1.58	0.84	
12	0.85	1.62	0.00	0.58	
13	0.42	1.00	0.00	1.10	
14	0.62	0.82	0.68	0.00	
15	0.00	2.13	1.00	1.84	
16	1.61	0.68	0.70	0.00	
17	0.00	3.01	2.23	4.04	
18	0.59	0.00	0.09	1.30	
19	0.38	0.22	0.87	0.00	
20	0.12	0.73	0.04	0.00	
21	0.00	1.15	1.18	0.79	
22	0.56	0.61	0.20	0.00	
23	0.40	1.23	1.16	0.00	
24	2.99	2.69	2.65	0.00	
25	0.00	3.31	1.33	4.68	
26	2.00	3.11	0.00	2.58	
27	4.58	8.36	0.00	4.71	
28	1.90	1.46	0.00	0.66	
29	5.11	7.10	9.35	0.00	
30	0.00	12.35	11.16	11.58	
31	1.44	3.76	4.38	0.00	
32	0.00	4.41	5.64	6.03	
33	0.00	2.54	5.63	6.18	
34	7.01	12.43	10.01	0.00	
35	0.00	3.21	1.82	3.40	
36	0.31	2.80	0.63	0.00	
37	0.00	1.39	1.15	0.74	
38	0.09	1.08	0.39	0.00	
39	0.00	3.14	2.69	2.38	
40	0.40	0.54	0.94	0.00	
