       pos      val_A      val_C      val_G      val_T
         3  -0.140805   0.151462   0.069010  -0.079667
         4  -0.075341   0.117346   0.108875  -0.150880
         5  -0.018133   0.091430   0.015051  -0.088348
         6   0.049099  -0.024222   0.090655  -0.115533
         7   0.108412   0.077014  -0.120809  -0.064616
         8   0.015054  -0.012004   0.108956  -0.112006
         9   0.078437   0.027207  -0.142725   0.037081
        10  -0.116783   0.004550   0.046173   0.066061
        11   0.054646  -0.062954   0.080330  -0.072021
        12   0.034343  -0.086821   0.004352   0.048125
        13   0.010017  -0.022905   0.097608  -0.084720
        14  -0.039555   0.082157  -0.030814  -0.011788
        15   0.015469   0.019765  -0.024893  -0.010341
        16  -0.220327   0.096208   0.012750   0.111369
        17   0.106597   0.001728   0.012383  -0.120708
        18   0.125986  -0.119559   0.067957  -0.074384
        19  -0.111146   0.079779   0.016032   0.015335
        20  -0.043790  -0.111555   0.129305   0.026040
        21  -0.416098   0.282673  -0.112848   0.246273
        22  -0.115602   0.114523   0.014043  -0.012964
        23   0.003796   0.147749   0.146501  -0.298045
        24   0.005189  -0.064836   0.073693  -0.014046
