       pos      val_A      val_C      val_G      val_T
        36   0.005749  -0.001570   0.007289  -0.011468
        37  -0.020498   0.017211  -0.015377   0.018664
        38   0.032799  -0.060993  -0.105311   0.133505
        39   0.079867   0.074301   0.077690  -0.231858
        40   0.004419   0.171149  -0.011798  -0.163770
        41   0.197594   0.146027  -0.261724  -0.081897
        42  -0.131803   0.065961   0.008695   0.057146
        43   0.055263  -0.167938   0.147293  -0.034619
        44  -0.079501   0.044379   0.056172  -0.021051
        45  -0.031556   0.038411   0.021007  -0.027862
        46  -0.005697   0.017796  -0.010611  -0.001487
        47  -0.014823   0.015829  -0.006101   0.005095
        48  -0.005596   0.019840   0.002711  -0.016955
        49  -0.015840   0.023541   0.001040  -0.008740
        50   0.016528   0.003425  -0.009594  -0.010360
        51  -0.058854   0.011787  -0.001749   0.048817
        52   0.001729  -0.005587  -0.011146   0.015004
        53   0.007548  -0.004046   0.007055  -0.010557
        54   0.003957  -0.004021   0.011521  -0.011457
        55  -0.012112   0.012094   0.007998  -0.007980
        56   0.003230   0.010535  -0.009590  -0.004174
        57  -0.002655   0.018898   0.018988  -0.035231
        58   0.019424   0.022514   0.021129  -0.063067
        59  -0.079969   0.040828  -0.049603   0.088744
        60   0.017087   0.018358  -0.053628   0.018183
        61  -0.009374   0.131666  -0.115615  -0.006677
        62   0.041118   0.038473  -0.027778  -0.051812
        63  -0.074047   0.089063   0.164271  -0.179287
        64  -0.320507   0.122250   0.127790   0.070467
        65  -0.044407   0.058803   0.055972  -0.070369
        66  -0.158076   0.030781   0.072534   0.054761
        67  -0.107834  -0.025440   0.076762   0.056513
        68  -0.008911   0.138424   0.091674  -0.221187
        69  -0.078091   0.053072  -0.009451   0.034471
        70  -0.019119   0.064595  -0.009056  -0.036420
        71  -0.033631   0.023168   0.011430  -0.000967
        72   0.105725   0.130363  -0.257948   0.021860
        73   0.013090   0.023818   0.077088  -0.113996
        74  -0.094091  -0.009946   0.162733  -0.058696
