pos	par_A	par_C	par_G	par_T
0	0.00	0.75	0.93	0.28	
1	0.00	1.75	1.21	0.57	
2	0.00	2.32	2.10	0.44	
3	0.38	1.73	1.88	0.00	
4	0.09	0.56	0.45	0.00	
5	2.91	1.40	2.69	0.00	
6	2.53	4.22	0.00	2.48	
7	1.78	1.64	3.13	0.00	
8	4.19	3.98	0.00	3.16	
9	0.00	1.35	2.73	3.72	
10	1.30	0.21	0.75	0.00	
11	1.09	0.00	0.64	1.23	
12	1.00	0.31	0.53	0.00	
13	0.00	0.55	0.22	0.77	
14	1.30	0.53	0.00	0.78	
15	0.00	1.18	0.87	1.22	
16	2.78	3.12	1.77	0.00	
17	3.61	0.00	4.25	4.25	
18	0.00	3.07	2.14	1.96	
19	1.50	0.00	3.38	2.11	
20	0.00	3.83	1.85	3.41	
21	0.00	1.15	0.65	0.44	
22	1.41	2.14	2.66	0.00	
23	0.17	1.23	1.28	0.00	
24	1.25	0.61	1.58	0.00	
25	1.00	0.78	1.06	0.00	
