pos	par_A	par_C	par_G	par_T
0	7.37	3.59	2.19	0.00	
1	3.62	7.01	4.21	0.00	
2	4.49	3.28	0.00	3.81	
3	0.00	3.31	2.36	2.89	
4	1.10	0.00	4.24	2.79	
5	0.00	1.73	0.13	1.55	
6	0.00	0.00	0.00	0.00	
7	0.00	0.00	0.00	0.00	
8	0.00	0.00	0.00	0.00	
9	0.00	0.00	0.00	0.00	
10	0.00	0.00	0.00	0.00	
11	0.00	0.00	0.00	0.00	
12	0.00	0.00	0.00	0.00	
13	0.00	0.00	0.00	0.00	
14	0.00	0.00	0.00	0.00	
15	0.00	0.00	0.00	0.00	
16	0.00	0.00	0.00	0.00	
17	0.00	0.00	0.00	0.00	
18	0.00	0.00	0.00	0.00	
19	0.00	0.00	0.00	0.00	
20	0.00	0.00	0.00	0.00	
21	0.00	0.00	0.00	0.00	
22	0.00	0.00	0.00	0.00	
23	0.00	0.00	0.00	0.00	
24	6.29	4.35	4.93	0.00	
25	0.00	4.84	5.66	3.98	
26	1.36	0.99	3.21	0.00	
27	0.00	2.30	1.24	1.97	
28	0.00	0.58	1.91	1.73	
29	4.39	4.89	5.71	0.00	
